title,log_budget,popularity,runtime,release_month,release_year,genre_count,log_revenue
Avatar,19.283570703318816,150.437577,162.0,12.0,2009.0,4,21.74857780752812
Pirates of the Caribbean: At World's End,19.519293035953808,139.082615,169.0,5.0,2007.0,3,20.68348496797515
Spectre,19.316768772590635,107.376788,148.0,10.0,2015.0,3,20.59619877401982
The Dark Knight Rises,19.33697147982652,112.31295,165.0,7.0,2012.0,4,20.804789693331283
John Carter,19.376192192825954,43.926995,132.0,3.0,2012.0,3,19.46497446846993
Spider-Man 3,19.36847014676186,115.699814,139.0,5.0,2007.0,3,20.607710897613856
Tangled,19.376192192825954,48.681969,100.0,11.0,2010.0,2,20.198670742638633
Avengers: Age of Ultron,19.450300164704952,134.279229,141.0,4.0,2015.0,3,21.063590425863644
Harry Potter and the Half-Blood Prince,19.33697147982652,98.885637,153.0,7.0,2009.0,3,20.65494331001405
Batman v Superman: Dawn of Justice,19.33697147982652,155.790452,151.0,3.0,2016.0,3,20.587744116361193
Superman Returns,19.413932520666354,57.925623,154.0,6.0,2006.0,4,19.784425751123838
Quantum of Solace,19.11382792951231,107.928811,106.0,10.0,2008.0,4,20.188985161495555
Pirates of the Caribbean: Dead Man's Chest,19.11382792951231,145.847379,151.0,6.0,2006.0,3,20.78685998699344
The Lone Ranger,19.35677410704427,49.046956,149.0,7.0,2013.0,3,18.307399060740746
Man of Steel,19.23161096461314,99.398009,143.0,6.0,2013.0,4,20.312052517984124
The Chronicles of Narnia: Prince Caspian,19.23161096461314,53.978602,150.0,5.0,2008.0,3,19.854934957961998
The Avengers,19.20913810886209,144.448633,143.0,4.0,2012.0,3,21.14168528147379
Pirates of the Caribbean: On Stranger Tides,19.755681813316283,135.413856,136.0,5.0,2011.0,3,20.76796555425219
Men in Black 3,19.23161096461314,52.035179,106.0,5.0,2012.0,3,20.25170383727199
The Hobbit: The Battle of the Five Armies,19.33697147982652,120.965743,144.0,12.0,2014.0,3,20.678289170592233
The Amazing Spider-Man,19.186148590743098,89.866276,136.0,6.0,2012.0,3,20.438533885937286
Robin Hood,19.11382792951231,37.668301,140.0,5.0,2010.0,2,19.554240336084877
The Hobbit: The Desolation of Smaug,19.33697147982652,94.370564,161.0,12.0,2013.0,2,20.680775786368866
The Golden Compass,19.00846741441004,42.990906,113.0,12.0,2007.0,2,19.73503557054199
King Kong,19.14822935606056,61.22601,187.0,12.0,2005.0,3,20.125428838008972
Titanic,19.11382792951231,100.025899,194.0,11.0,1997.0,3,21.33576364489052
Captain America: Civil War,19.33697147982652,198.372395,147.0,4.0,2016.0,3,20.865897133567135
Battleship,19.157844814713773,64.928382,131.0,4.0,2012.0,4,19.52932747214763
Jurassic World,18.826145858727198,418.708552,124.0,6.0,2015.0,4,21.137709722254115
Skyfall,19.11382792951231,93.004993,143.0,10.0,2012.0,3,20.826328627454465
Spider-Man 2,19.11382792951231,35.149586,127.0,6.0,2004.0,3,20.47962150073071
Iron Man 3,19.11382792951231,77.68208,130.0,4.0,2013.0,3,20.91837198398605
Alice in Wonderland,19.11382792951231,78.530105,108.0,3.0,2010.0,3,20.748437467472296
X-Men: The Last Stand,19.162618093443648,3.857526,104.0,5.0,2006.0,4,19.94534380777439
Monsters University,19.11382792951231,89.186492,104.0,6.0,2013.0,2,20.426959492809576
Transformers: Revenge of the Fallen,18.826145858727198,21.939663,150.0,6.0,2009.0,3,20.544494644941985
Transformers: Age of Extinction,19.162618093443648,116.840296,165.0,6.0,2014.0,3,20.810731783770184
Oz: The Great and Powerful,19.11382792951231,46.985445,130.0,3.0,2013.0,3,20.013722061929226
The Amazing Spider-Man 2,19.11382792951231,89.270217,142.0,4.0,2014.0,3,20.374725478797583
TRON: Legacy,18.951309000896888,73.79505,125.0,12.0,2010.0,3,19.80713200276317
Cars 2,19.11382792951231,49.98659,106.0,6.0,2011.0,4,20.14318373016529
Green Lantern,19.11382792951231,51.872839,114.0,6.0,2011.0,4,19.208461389032852
Toy Story 3,19.11382792951231,59.995418,103.0,6.0,2010.0,3,20.78808841523593
Terminator Salvation,19.11382792951231,71.862892,115.0,5.0,2009.0,3,19.732663656064677
Furious 7,19.06253463538792,102.322217,137.0,4.0,2015.0,1,21.132888530970785
World War Z,19.11382792951231,81.834855,116.0,6.0,2013.0,5,20.091900257585234
X-Men: Days of Future Past,19.33697147982652,118.078691,131.0,5.0,2014.0,4,20.432730064563454
Star Trek Into Darkness,19.06253463538792,78.291018,132.0,5.0,2013.0,3,19.96262162343216
Jack the Giant Slayer,19.088510121656228,43.349855,114.0,2.0,2013.0,3,19.102198585112838
The Great Gatsby,18.46947091764561,61.196071,143.0,5.0,2013.0,2,19.676411931495274
Prince of Persia: The Sands of Time,18.826145858727198,62.169881,116.0,5.0,2010.0,4,19.630102607154413
Pacific Rim,19.00846741441004,56.523205,131.0,7.0,2013.0,3,19.82580399127956
Transformers: Dark of the Moon,19.088510121656228,28.529607,154.0,6.0,2011.0,3,20.839934471443975
Indiana Jones and the Kingdom of the Crystal Skull,19.035866388448003,75.674458,122.0,5.0,2008.0,2,20.48327622672714
The Good Dinosaur,18.980296537602072,51.692953,93.0,11.0,2015.0,3,19.620423056352898
Brave,19.035866388448003,125.114374,93.0,6.0,2012.0,6,20.105194974399108
Star Trek Beyond,19.035866388448003,65.352913,122.0,7.0,2016.0,3,19.654615619681344
WALL·E,19.00846741441004,66.390712,98.0,6.0,2008.0,2,20.071859002213046
Rush Hour 3,18.757152987716434,22.57178,91.0,8.0,2007.0,4,19.36855631746733
2012,19.11382792951231,45.274225,158.0,10.0,2009.0,3,20.461451096263065
A Christmas Carol,19.11382792951231,39.744242,96.0,11.0,2009.0,2,19.60005506305781
Jupiter Ascending,18.9859945757297,85.36908,124.0,2.0,2015.0,4,19.03037959595625
The Legend of Tarzan,19.00846741441004,42.741719,109.0,6.0,2016.0,2,19.692526366339536
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",19.00846741441004,67.391328,143.0,12.0,2005.0,3,20.43399177528534
X-Men: Apocalypse,18.997294113874336,139.272042,144.0,5.0,2016.0,1,20.114339922634635
The Dark Knight,19.035866388448003,187.322927,152.0,7.0,2008.0,4,20.727813923702396
Up,18.980296537602072,92.201962,96.0,5.0,2009.0,4,20.41551585489421
Monsters vs Aliens,18.980296537602072,36.167578,94.0,3.0,2009.0,4,19.75964728253492
Iron Man,18.757152987716434,120.725053,126.0,4.0,2008.0,3,20.18742017795144
Hugo,18.951309000896888,32.319043,126.0,11.0,2011.0,3,19.04002077403029
Wild Wild West,18.951309000896888,40.748915,106.0,6.0,1999.0,5,19.21865936923679
The Mummy: Tomb of the Dragon Emperor,18.7922443072814,60.034162,112.0,7.0,2008.0,3,19.809792731831152
Suicide Squad,18.980296537602072,90.23792,123.0,8.0,2016.0,5,20.428894777686114
